업소명,민박업소형태,주소,지방행정데이터인허가번호,지방행정데이터인허가일자,영업상태,latitude,longitude
마틴의 집,외국인관광도시민박업,"서울특별시 중구 퇴계로32길 30-4, 1층 (예장동)",CDFI2262212018000006,2018-06-12,영업/정상(영업중),37.5596044959561,126.992467668177
보이드 서울,외국인관광도시민박업,"서울특별시 광진구 긴고랑로26길 25-15, 101호 (중곡동, 보이드 군자)",CDFI2262212025000080,2025-12-01,영업/정상(영업중),37.5593531167648,127.085385938769
Dandi Stay,외국인관광도시민박업,"서울특별시 용산구 청파로93길 14, 가동 203호 (서계동, 에스에스빌라)",CDFI2262212025000099,2025-12-02,영업/정상(영업중),37.5544518515867,126.968077955229
Noark House,외국인관광도시민박업,"서울특별시 성동구 용답19길 14-1, 101호 (용답동)",CDFI2262212025000047,2025-11-28,영업/정상(영업중),37.5633381202782,127.05255894779
강남미인,외국인관광도시민박업,"서울특별시 강남구 봉은사로4길 7, 401호 (역삼동)",CDFI2262212025000064,2025-12-08,영업/정상(영업중),37.5042970892015,127.026308302074
코지플로우스테이,외국인관광도시민박업,"서울특별시 광진구 뚝섬로30가길 18-1, 201호 (자양동)",CDFI2262212025000078,2025-11-28,영업/정상(영업중),37.535096189738,127.065121707491
조은 스테이,외국인관광도시민박업,"서울특별시 관악구 신림로71길 42, M03호 (신림동)",CDFI2262212025000077,2025-12-08,영업/정상(영업중),37.4881299039258,126.926001684978
스테이 숲,외국인관광도시민박업,"서울특별시 강동구 천중로 86-18, 102호 (천호동)",CDFI2262212025000083,2025-11-28,영업/정상(영업중),37.5439612770894,127.130769373382
행복한 집,외국인관광도시민박업,"서울특별시 광진구 구의로 45-1, 402호 (구의동, 현대골든빌라)",CDFI2262212025000084,2025-12-08,영업/정상(영업중),37.5421438709779,127.089880556332
스테이 서울하루,외국인관광도시민박업,"서울특별시 마포구 월드컵북로 308, 301호 (상암동)",CDFI2262212024000170,2024-07-15,영업/정상(영업중),37.574594594467,126.897165547026
아름 스테이 합정,외국인관광도시민박업,"서울특별시 마포구 월드컵로5길 33-24, 2층 302호 (합정동)",CDFI2262212025000434,2025-12-08,영업/정상(영업중),37.550593916971,126.910632803412
아늑한 빌라,외국인관광도시민박업,"서울특별시 동대문구 천호대로69나길 20, 2층 (답십리동)",CDFI2262212025000029,2025-11-28,영업/정상(영업중),37.5690617669881,127.053206703329
달살이네,외국인관광도시민박업,"서울특별시 관악구 봉천로 403-1, 지층 뒷집 (봉천동)",CDFI2262212025000078,2025-12-08,영업/정상(영업중),37.4833148670228,126.94468015842
Seoul mate Stay,외국인관광도시민박업,"서울특별시 마포구 성미산로 68-4, 2층 202호 (성산동)",CDFI2262212025000435,2025-12-08,영업/정상(영업중),37.5595122840661,126.915562323595
덴아이세드 압구정,외국인관광도시민박업,"서울특별시 강남구 언주로153길 14-2, 101호 (신사동)",CDFI2262212025000063,2025-12-08,영업/정상(영업중),37.5229079892673,127.032019688287
주미 스테이 (Jumi's Stay),외국인관광도시민박업,"서울특별시 서대문구 연희로2길 40, 402호 (창천동)",CDFI2262212025000114,2025-12-08,영업/정상(영업중),37.5600795208548,126.928030421719
Bong's House,외국인관광도시민박업,"서울특별시 용산구 효창원로 145-11, 지층 102호 (효창동)",CDFI2262212025000105,2025-12-08,영업/정상(영업중),37.5412801625539,126.961472896191
스테이 블루밍,외국인관광도시민박업,"서울특별시 관악구 남부순환로182길 4-7, 더 베리타스 702호 (신림동)",CDFI2262212025000072,2025-12-02,영업/정상(영업중),37.4840477805681,126.93119293248
레몬버터홈,외국인관광도시민박업,"서울특별시 강남구 테헤란로55길 45, 302호 (역삼동)",CDFI2262212025000051,2025-11-22,영업/정상(영업중),37.5067588583481,127.045214930283
스테이 오하2,외국인관광도시민박업,"서울특별시 강남구 테헤란로55길 45, 204호 (역삼동)",CDFI2262212025000049,2025-11-22,영업/정상(영업중),37.5067588583481,127.045214930283
더 홍대 스테이,외국인관광도시민박업,"서울특별시 마포구 잔다리로 30-14, 지하1층 (서교동)",CDFI2262212025000416,2025-11-23,영업/정상(영업중),37.5518039645435,126.9202020741
리앤수,외국인관광도시민박업,"서울특별시 마포구 월드컵로20길 66, 101호 (서교동)",CDFI2262212025000422,2025-11-23,영업/정상(영업중),37.55809180728,126.912638066298
피키하우스,외국인관광도시민박업,"서울특별시 강남구 테헤란로55길 45, 401호 (역삼동)",CDFI2262212025000052,2025-11-22,영업/정상(영업중),37.5067588583481,127.045214930283
아워에피소드홈,외국인관광도시민박업,"서울특별시 양천구 목동중앙북로22길 3-14, 2층 (목동)",CDFI2262212025000049,2025-11-21,영업/정상(영업중),37.5460943152502,126.877302842554
블루스테이,외국인관광도시민박업,"서울특별시 마포구 월드컵로20길 66, 202호 (서교동)",CDFI2262212025000411,2025-11-21,영업/정상(영업중),37.55809180728,126.912638066298
빈방,외국인관광도시민박업,"서울특별시 용산구 소월로44가길 35, 2층 (이태원동)",CDFI2262212025000095,2025-11-20,영업/정상(영업중),37.5412047990241,126.993161103543
스테이 오하,외국인관광도시민박업,"서울특별시 강남구 테헤란로55길 45, 201호 (역삼동)",CDFI2262212025000050,2025-11-22,영업/정상(영업중),37.5067588583481,127.045214930283
Sunny House,외국인관광도시민박업,"서울특별시 광진구 자양번영로11길 24-10, B102호 (자양동)",CDFI2262212025000076,2025-11-21,영업/정상(영업중),37.5376545832962,127.075695204249
망고하우스,외국인관광도시민박업,"서울특별시 마포구 월드컵북로4길 73, 지하101호 (동교동)",CDFI2262212025000410,2025-11-21,영업/정상(영업중),37.559172501807,126.922639221734
LUMO N Stay,외국인관광도시민박업,"서울특별시 동작구 사당로16다길 102-7, 1층 (사당동)",CDFI2262212025000022,2025-11-21,영업/정상(영업중),37.4850299500844,126.968169363722
청화스테이,외국인관광도시민박업,"서울특별시 강남구 선릉로111길 35, B03호 (논현동)",CDFI2262212024000002,2024-04-25,영업/정상(영업중),37.5100352735257,127.040754245461
용답스테이,외국인관광도시민박업,"서울특별시 성동구 용답25나길 10, 301호 (용답동)",CDFI2262212025000028,2025-08-05,영업/정상(영업중),37.5626247638879,127.053045817824
루미온,외국인관광도시민박업,"서울특별시 강동구 양재대로87길 52-6, B02호 (성내동)",CDFI2262212024000074,2024-12-27,영업/정상(영업중),37.5262415306415,127.132348263638
다 올,외국인관광도시민박업,"서울특별시 종로구 종로65길 33-20, 201호 (숭인동, 고덕빌라)",CDFI2262212025000166,2025-12-11,영업/정상(영업중),37.5760290652931,127.019094769023
인조이,외국인관광도시민박업,"서울특별시 마포구 와우산로3안길 7, 501호 (상수동, 석진하우징)",CDFI2262212024000423,2024-11-26,영업/정상(영업중),37.5463911393995,126.922247094168
이유 하우스,외국인관광도시민박업,"서울특별시 성북구 종암로21길 17-8, 302호 (종암동)",CDFI2262212025000022,2025-06-26,영업/정상(영업중),37.5994712508847,127.033380776065
온리유스테이 서울,외국인관광도시민박업,"서울특별시 관악구 봉천로33가길 6, 101호 (봉천동)",CDFI2262212024000144,2024-11-28,영업/정상(영업중),37.4841829299846,126.944172192317
종로테라스 스테이,외국인관광도시민박업,"서울특별시 종로구 종로63가길 59-1, 401호 (숭인동)",CDFI2262212025000165,2025-12-11,영업/정상(영업중),37.5767654147814,127.018740057452
나나하우스,외국인관광도시민박업,"서울특별시 강남구 삼성로107길 28, 101호 (삼성동)",CDFI2262212025000066,2025-12-11,영업/정상(영업중),37.5110902797795,127.051747963773
도도스테이,외국인관광도시민박업,"서울특별시 광진구 아차산로34길 18, 201호 (자양동)",CDFI2262212025000086,2025-12-11,영업/정상(영업중),37.5393857281086,127.06929724367
진진 스테이,외국인관광도시민박업,"서울특별시 서대문구 수색로8가길 22-6, B101호 (북가좌동)",CDFI2262212025000116,2025-12-10,영업/정상(영업중),37.5766305890962,126.905825335144
디디 하우스,외국인관광도시민박업,"서울특별시 용산구 효창원로110길 11-6, 2층 (서계동)",CDFI2262212025000103,2025-12-05,영업/정상(영업중),37.5517469825648,126.963766172473
스테이 하하호호,외국인관광도시민박업,"서울특별시 광진구 능동로29길 7-6, 101호 (군자동)",CDFI2262212024000044,2024-10-21,영업/정상(영업중),37.554330706668,127.077247920435
셀베이션,외국인관광도시민박업,"서울특별시 도봉구 노해로57길 19-3, 2층 201호 (쌍문동, JH Palace)",CDFI2262212025000007,2025-10-14,영업/정상(영업중),37.6522401247379,127.03317751554
에어비앤비,외국인관광도시민박업,"서울특별시 도봉구 노해로63가길 31-11, 4층 401호 (창동)",CDFI2262212025000006,2025-10-14,영업/정상(영업중),37.6542971332589,127.044476641386
오소리 작업소,외국인관광도시민박업,"서울특별시 은평구 가좌로11길 21, 1층 (신사동)",CDFI2262212025000024,2025-12-11,영업/정상(영업중),37.5958319446215,126.906091021846
보니토 스테이,외국인관광도시민박업,"서울특별시 종로구 창신길 39-6, 3층 (창신동)",CDFI2262212025000055,2025-04-24,영업/정상(영업중),37.5735337757307,127.010283380085
민즈하우스,외국인관광도시민박업,"서울특별시 도봉구 도봉로110가길 13, 2층 (창동)",CDFI2262212025000010,2025-12-05,영업/정상(영업중),37.6456208004708,127.033742934214
Peaceinbnb 2,외국인관광도시민박업,"서울특별시 서대문구 신촌로1길 57, 202호 (창천동)",CDFI2262212025000117,2025-12-11,영업/정상(영업중),37.5600311302903,126.928463609153
