업소명,민박업소형태,주소,지방행정데이터인허가번호,지방행정데이터인허가일자,영업상태
LOFT 43 AMAZING HOUSE,외국인관광도시민박업,"서울특별시 마포구 새터산14길 43, 301호 (성산동)",CDFI2262212018000100,2018-11-19,영업/정상(영업중)
라벤더하우스,외국인관광도시민박업,"서울특별시 마포구 동교로41길 8, 3층 (연남동)",CDFI2262212024000231,2024-08-21,영업/정상(영업중)
엣홈,외국인관광도시민박업,"[121-818] 서울특별시 마포구 신촌로2안길 52, 4층 (동교동)",CDFI2262212014000036,2014-07-30,영업/정상(영업중)
우먼하우스,외국인관광도시민박업,"서울특별시 마포구 망원로2길 15, 204호 (망원동, 뫼비우스)",CDFI2262212017000020,2017-03-14,영업/정상(영업중)
코코하우스,외국인관광도시민박업,"서울특별시 마포구 방울내로9길 34, 지층 102호 (망원동)",CDFI2262212024000046,2024-03-18,영업/정상(영업중)
장한나라,외국인관광도시민박업,"서울특별시 마포구 와우산로29길 26-33, 202호 (서교동)",CDFI2262212023000170,2023-11-17,영업/정상(영업중)
코텔로,외국인관광도시민박업,"서울특별시 마포구 독막로3길 24-7, 1층 (서교동)",CDFI2262212024000238,2024-08-26,영업/정상(영업중)
버즈네스트,외국인관광도시민박업,서울특별시 마포구 연남로3길 18 (연남동),CDFI2262212012000022,2012-06-13,영업/정상(영업중)
RM,외국인관광도시민박업,"서울특별시 마포구 월드컵로8길 57, 201호 (서교동)",CDFI2262212023000120,2023-09-05,영업/정상(영업중)
벙크 백팩커스 게스트하우스,외국인관광도시민박업,"[121-836] 서울특별시 마포구 와우산로29다길 11-1, 1~2층 (서교동)",CDFI2262212013000025,2013-04-26,영업/정상(영업중)
모노크롬하우스(그리너리룸),외국인관광도시민박업,"서울특별시 마포구 성미산로 199, 301호 (연남동)",CDFI2262212021000008,2021-01-15,영업/정상(영업중)
Soft Seoul,외국인관광도시민박업,"서울특별시 마포구 성미산로13길 58, 2층 (성산동)",CDFI2262212024000068,2024-04-16,영업/정상(영업중)
마포 게스트하우스 해날,외국인관광도시민박업,"서울특별시 마포구 마포대로4길 32-7, 2층 301호 (도화동)",CDFI2262212023000168,2023-11-17,영업/정상(영업중)
Pause BnB,외국인관광도시민박업,"서울특별시 마포구 와우산로29가길 75, 1층 (서교동)",CDFI2262212022000073,2022-11-03,영업/정상(영업중)
편안한 숙소,외국인관광도시민박업,"서울특별시 마포구 어울마당로2길 15-3, 101호 (당인동)",CDFI2262212023000112,2023-08-25,영업/정상(영업중)
몽키하우스,외국인관광도시민박업,"서울특별시 마포구 양화로6길 32, 3층 (합정동)",CDFI2262212020000074,2020-09-28,영업/정상(영업중)
DW Design Residence 2,외국인관광도시민박업,"서울특별시 마포구 동교로25길 35, 지층 (동교동)",CDFI2262212015000011,2015-12-29,영업/정상(영업중)
케이하우스,외국인관광도시민박업,"서울특별시 마포구 동교로25길 69-4, 2층 (연남동)",CDFI2262212021000011,2021-01-26,영업/정상(영업중)
셀비어 하우스3,외국인관광도시민박업,"서울특별시 마포구 동교로12길 43, 301호 (서교동)",CDFI2262212024000083,2024-04-26,영업/정상(영업중)
체크인서울,외국인관광도시민박업,"서울특별시 마포구 동교로25길 9, 302호 (동교동)",CDFI2262212024000186,2024-07-24,영업/정상(영업중)
셀비어 하우스2,외국인관광도시민박업,"서울특별시 마포구 동교로12길 43, 201호 (서교동)",CDFI2262212024000082,2024-04-26,영업/정상(영업중)
헤스테연남,외국인관광도시민박업,"서울특별시 마포구 동교로27길 93-9, 202호 (연남동)",CDFI2262212023000051,2023-05-17,영업/정상(영업중)
말랑홈,외국인관광도시민박업,"서울특별시 마포구 연남로1길 24-11, 300호 (연남동)",CDFI2262212022000059,2022-09-19,영업/정상(영업중)
훈게스트하우스,외국인관광도시민박업,"서울특별시 마포구 와우산로 169-3, 201호 (동교동)",CDFI2262212024000113,2024-05-29,영업/정상(영업중)
셀비어 하우스1,외국인관광도시민박업,"서울특별시 마포구 동교로12길 43, 101호 (서교동)",CDFI2262212024000081,2024-04-26,영업/정상(영업중)
말랑홈_핑크,외국인관광도시민박업,"서울특별시 마포구 연남로1길 24-11, 202호 (연남동)",CDFI2262212023000055,2023-05-24,영업/정상(영업중)
무드하우스,외국인관광도시민박업,"서울특별시 마포구 잔다리로7안길 37-3, 2층 202호 (서교동, 대덕빌라)",CDFI2262212023000054,2023-05-24,영업/정상(영업중)
TOMI HOUSE,외국인관광도시민박업,"서울특별시 마포구 와우산로37길 12, 1층 2호 (동교동)",CDFI2262212019000001,2019-01-04,영업/정상(영업중)
스테이 무드인블루,외국인관광도시민박업,"서울특별시 마포구 성미산로16길 43, 1층 101호 (연남동)",CDFI2262212023000053,2023-05-24,영업/정상(영업중)
Like House,외국인관광도시민박업,"서울특별시 마포구 어울마당로 153-2, 1층 (동교동)",CDFI2262212022000001,2022-01-05,영업/정상(영업중)
브릭하우스,외국인관광도시민박업,"서울특별시 마포구 월드컵북로8길 23, 301호 (연남동)",CDFI2262212022000078,2022-11-23,영업/정상(영업중)
Gu&Anne,외국인관광도시민박업,"서울특별시 마포구 동교로27길 27-3, 102호 (동교동)",CDFI2262212021000032,2021-06-21,영업/정상(영업중)
원이하우스,외국인관광도시민박업,"서울특별시 마포구 동교로27길 93-9, 201호 (연남동)",CDFI2262212023000050,2023-05-17,영업/정상(영업중)
몬데이크래커 홍대,외국인관광도시민박업,"서울특별시 마포구 연희로1길 40-8, 지하1층 (동교동)",CDFI2262212022000010,2022-03-10,영업/정상(영업중)
