업소명,민박업소형태,주소,지방행정데이터인허가번호,지방행정데이터인허가일자,영업상태
발자국,외국인관광도시민박업,"서울특별시 서대문구 연세로5길 26-7, 2층 (창천동)",CDFI3261142016000014,2016-05-03,영업/정상(영업중)
레몬쌀롱,외국인관광도시민박업,서울특별시 마포구 양화로10길 55-4 (서교동),CDFI3261142017000001,2017-01-05,영업/정상(영업중)
L House,외국인관광도시민박업,서울특별시 강서구 양천로14길 36 (방화동),CDFI3261142017000001,2017-05-16,영업/정상(영업중)
다산하우스,외국인관광도시민박업,"서울특별시 강서구 공항대로8길 8, 2층 (공항동)",CDFI3261142017000002,2017-07-24,영업/정상(영업중)
트립홀릭,외국인관광도시민박업,"서울특별시 종로구 혜화로12길 20-11, 101호 (혜화동)",CDFI3261142016000009,2016-04-15,영업/정상(영업중)
홍대제이케이하우스,외국인관광도시민박업,"서울특별시 마포구 와우산로23길 20-14, 301호 (서교동)",CDFI3261142016000017,2016-04-14,영업/정상(영업중)
Sue&So,외국인관광도시민박업,"서울특별시 마포구 월드컵로5길 36-19, 202호 (합정동)",CDFI3261142017000002,2017-01-05,영업/정상(영업중)
게스트하우스 ONL(오늘),외국인관광도시민박업,서울특별시 서초구 바우뫼로11안길 38-6 (우면동),CDFI3261142016000003,2016-05-04,영업/정상(영업중)
주주게스트하우스3,외국인관광도시민박업,"서울특별시 마포구 양화로7길 66, 1층 101호 (서교동)",CDFI3261142016000023,2016-05-12,영업/정상(영업중)
주주게스트하우스2,외국인관광도시민박업,"서울특별시 마포구 양화로7길 66, B02호 (서교동)",CDFI3261142016000025,2016-05-12,영업/정상(영업중)
guesthouse345,외국인관광도시민박업,서울특별시 마포구 와우산로 8-7 (상수동),CDFI3261142016000020,2016-05-04,영업/정상(영업중)
애드인,외국인관광도시민박업,서울특별시 마포구 새터산9길 12 (성산동),CDFI3261142016000021,2016-05-04,영업/정상(영업중)
반딧불게스트하우스2,외국인관광도시민박업,"서울특별시 마포구 동교로38길 28, 3층 (연남동)",CDFI3261142016000022,2016-05-09,영업/정상(영업중)
N,외국인관광도시민박업,"서울특별시 용산구 소월로2나길 6-2 (후암동, 객실 : 1)",CDFI3261142016000013,2016-04-21,영업/정상(영업중)
포시즌하우스,외국인관광도시민박업,서울특별시 마포구 월드컵로5길 39-5 (합정동),CDFI3261142016000018,2016-04-22,영업/정상(영업중)
게스트하우스 K(동교동지점),외국인관광도시민박업,서울특별시 마포구 연희로1길 40-3 (동교동),CDFI3261142016000019,2016-04-25,영업/정상(영업중)
Nagne’s,외국인관광도시민박업,서울특별시 동대문구 경희대로3길 17 (회기동),CDFI3261142016000001,2016-04-25,영업/정상(영업중)
메디치하우스,외국인관광도시민박업,서울특별시 서대문구 연희로11사길 16-5 (연희동),CDFI3261142016000012,2016-04-27,영업/정상(영업중)
주주게스트하우스1,외국인관광도시민박업,"서울특별시 마포구 양화로7길 66, B01호 (서교동)",CDFI3261142016000024,2016-05-12,영업/정상(영업중)
빅토리안 스튜디오,외국인관광도시민박업,서울특별시 서대문구 연희로4길 13-7 (연희동),CDFI3261142016000013,2016-04-27,영업/정상(영업중)
페닌슐라 게스트하우스,외국인관광도시민박업,"서울특별시 관악구 문성로19길 28, 1층 (신림동)",CDFI3261142016000006,2016-05-13,영업/정상(영업중)
필스테이명동부띠끄,외국인관광도시민박업,"서울특별시 중구 퇴계로16길 11, 2~3층 (남산동1가, 이일빌딩)",CDFI3261142016000013,2016-05-26,영업/정상(영업중)
보눔,외국인관광도시민박업,서울특별시 종로구 북촌로 53 (가회동),CDFI3261142016000012,2016-05-26,영업/정상(영업중)
로컬 텍스처(Local Texture),외국인관광도시민박업,"서울특별시 성동구 상원6가길 13, 201호 (성수동1가)",CDFI2262212026000007,2026-01-29,영업/정상(영업중)
Be:um(비움),외국인관광도시민박업,서울특별시 마포구 양화로18안길 34-3 (동교동),CDFI3261142016000031,2016-05-27,영업/정상(영업중)
제이슨 하우스(JASON HOUSE),외국인관광도시민박업,"서울특별시 동작구 사당로13길 31, 103동 17층 1702호 (사당동, 두산위브 트레지움)",CDFI3261142016000001,2016-05-16,영업/정상(영업중)
판판게스트하우스,외국인관광도시민박업,"서울특별시 마포구 와우산로29라길 17, 303호 (서교동)",CDFI3261142016000030,2016-05-27,영업/정상(영업중)
Monoplan House Seongsu - Studio A,외국인관광도시민박업,"서울특별시 성동구 서울숲7길 10, 201호 (성수동1가)",CDFI2262212026000008,2026-01-29,영업/정상(영업중)
서촌빌리지,외국인관광도시민박업,"서울특별시 종로구 옥인2길 14-4, 202호 (누상동)",CDFI3261142016000010,2016-05-17,영업/정상(영업중)
스테이앤컴퍼니(Stay N Co.),외국인관광도시민박업,"서울특별시 관악구 관천로24길 21-9, B02호 (신림동)",CDFI2262212026000031,2026-01-29,영업/정상(영업중)
서울대입구 에어비앤비,외국인관광도시민박업,"서울특별시 관악구 봉천로 495-2, 지하층 (봉천동)",CDFI2262212026000030,2026-01-29,영업/정상(영업중)
Stay Hyehwa,외국인관광도시민박업,"서울특별시 종로구 창경궁로27길 16, 102호 (명륜3가)",CDFI2262212026000012,2026-01-29,영업/정상(영업중)
스테이수,외국인관광도시민박업,"서울특별시 관악구 문성로38길 32-18, 지층 102호 (신림동)",CDFI2262212026000029,2026-01-29,영업/정상(영업중)
stay 이레,외국인관광도시민박업,"서울특별시 강동구 명일로 157-5, 대광맨션 3층 302호 (둔촌동)",CDFI2262212026000005,2026-01-29,영업/정상(영업중)
동준하우스,외국인관광도시민박업,"서울특별시 강남구 도곡로25길 32, 302호 (역삼동)",CDFI2262212026000036,2026-01-28,영업/정상(영업중)
비누(Benew),외국인관광도시민박업,서울특별시 서대문구 통일로39가길 10-2 (홍제동),CDFI2262212026000011,2026-01-29,영업/정상(영업중)
브릭맨션,외국인관광도시민박업,서울특별시 강남구 테헤란로19길 52 (역삼동),CDFI2262212026000038,2026-01-29,영업/정상(영업중)
베라노,외국인관광도시민박업,"서울특별시 송파구 토성로 37, 301동 18층 1804호 (풍납동, 현대리버빌아파트)",CDFI3261142016000005,2016-06-20,영업/정상(영업중)
게스트하우스 지601,외국인관광도시민박업,"서울특별시 강남구 논현로105길 11-17, 지하층 (역삼동)",CDFI3261142016000013,2016-07-08,영업/정상(영업중)
코모레비,외국인관광도시민박업,"서울특별시 동작구 여의대방로22바길 19, 지층 102호 (신대방동)",CDFI2262212026000007,2026-01-28,영업/정상(영업중)
Namsan Fresh House,외국인관광도시민박업,"서울특별시 용산구 신흥로11길 7, 2층 (용산동2가, 객실:3개)",CDFI3261142016000015,2016-06-22,영업/정상(영업중)
로이즈하우스,외국인관광도시민박업,"서울특별시 중구 퇴계로20길 41-9, 101호 (남산동2가)",CDFI3261142016000014,2016-06-22,영업/정상(영업중)
카메 게스트하우스,외국인관광도시민박업,"서울특별시 용산구 이태원로16길 21-8, 지층 (이태원동, 객실:1개)",CDFI3261142016000019,2016-07-25,영업/정상(영업중)
Q-하우스,외국인관광도시민박업,"서울특별시 마포구 신촌로2안길 47, 303호 (동교동)",CDFI3261142016000045,2016-07-11,영업/정상(영업중)
Romantic Holiday,외국인관광도시민박업,"서울특별시 마포구 잔다리로6길 20-6, 301호 (서교동)",CDFI3261142016000041,2016-06-24,영업/정상(영업중)
이름재단,외국인관광도시민박업,"서울특별시 용산구 소월로44길 16, 1층 (이태원동, 객실:1개)",CDFI3261142016000018,2016-07-20,영업/정상(영업중)
Eden Guest House2,외국인관광도시민박업,"서울특별시 용산구 회나무로13길 6-4, 2층 (이태원동, 객실:2개)",CDFI3261142016000017,2016-07-13,영업/정상(영업중)
CN Guesthouse,외국인관광도시민박업,"서울특별시 송파구 새말로15길 14-23, 나동 3층 301호 (문정동, 가락파크빌라)",CDFI3261142016000006,2016-06-21,영업/정상(영업중)
Jane House,외국인관광도시민박업,"서울특별시 마포구 와우산로37길 38, 402호 (동교동, 동진빌라)",CDFI3261142016000016,2016-04-07,영업/정상(영업중)
Travel Holic2,외국인관광도시민박업,"서울특별시 용산구 녹사평대로26가길 26, 2층 (이태원동, 객실2)",CDFI3261142016000011,2016-04-05,영업/정상(영업중)
딥서울 게스트하우스,외국인관광도시민박업,서울특별시 마포구 양화로23길 16-4 (동교동),CDFI3261142016000046,2016-07-11,영업/정상(영업중)
벙크2 게스트하우스,외국인관광도시민박업,"서울특별시 마포구 와우산로29라길 19-1, 1층 (서교동)",CDFI3261142016000047,2016-07-27,영업/정상(영업중)
김치다운타운 게스트하우스 3A,외국인관광도시민박업,"서울특별시 서대문구 서소문로 43-45, 3층 A호 (합동, 에쉬빌팔레스)",CDFI3261142016000010,2016-04-12,영업/정상(영업중)
삼형제 게스트하우스,외국인관광도시민박업,서울특별시 종로구 이화장1나길 28-1 (이화동),CDFI3261142016000007,2016-03-30,영업/정상(영업중)
모노하우스(2호점),외국인관광도시민박업,서울특별시 마포구 동교로45길 16 (연남동),CDFI3261142016000015,2016-04-01,영업/정상(영업중)
Siyoung House,외국인관광도시민박업,서울특별시 서대문구 신촌로 51-1 (창천동),CDFI3261142016000007,2016-04-04,영업/정상(영업중)
코코크레하우스,외국인관광도시민박업,서울특별시 영등포구 여의대방로59길 16-8 (신길동),CDFI3261142016000001,2016-04-08,영업/정상(영업중)
애플망고게스트하우스,외국인관광도시민박업,서울특별시 마포구 동교로52길 20-12 (연남동),CDFI3261142016000043,2016-06-29,영업/정상(영업중)
김치다운타운 게스트하우스 2B,외국인관광도시민박업,"서울특별시 서대문구 서소문로 43-45, 2층 B호 (합동, 에쉬빌팔레스)",CDFI3261142016000009,2016-04-12,영업/정상(영업중)
리치하우스,외국인관광도시민박업,"서울특별시 강남구 압구정로28길 22-6, 2층 (신사동)",CDFI3261142016000012,2016-04-07,영업/정상(영업중)
코비게스트하우스,외국인관광도시민박업,서울특별시 종로구 종로53길 12-8 (창신동),CDFI3261142016000008,2016-04-14,영업/정상(영업중)
Maji's house,외국인관광도시민박업,"서울특별시 용산구 이태원로15길 33, 102호 (이태원동, 운산빌라 / 객실:2개)",CDFI3261142016000016,2016-07-04,영업/정상(영업중)
모모하우스,외국인관광도시민박업,"서울특별시 마포구 월드컵로8길 68, 202호 (서교동)",CDFI3261142016000042,2016-06-28,영업/정상(영업중)
펌킨게스트하우스2,외국인관광도시민박업,"서울특별시 마포구 홍익로 3-13, 1층 201호 (서교동)",CDFI3261142016000038,2016-06-16,영업/정상(영업중)
Songpa lovely room,외국인관광도시민박업,"서울특별시 송파구 오금로23길 13, 401호 (방이동)",CDFI2262212016000011,2016-08-30,영업/정상(영업중)
김치다운타운 게스트하우스 2A,외국인관광도시민박업,"서울특별시 서대문구 서소문로 43-45 (합동, 에쉬빌팔레스)",CDFI3261142016000008,2016-04-12,영업/정상(영업중)
Jamsil's comfort zone,외국인관광도시민박업,"서울특별시 송파구 올림픽로 399, 5동 10층 1002호 (신천동, 진주아파트)",CDFI3261142016000007,2016-06-27,영업/정상(영업중)
김치다운타운 게스트하우스 3B,외국인관광도시민박업,"서울특별시 서대문구 서소문로 43-45, 3층 B호 (합동, 에쉬빌팔레스)",CDFI3261142016000011,2016-04-12,영업/정상(영업중)
ICOS 게스트하우스 신촌,외국인관광도시민박업,서울특별시 서대문구 연세로2다길 63 (창천동),CDFI3261142016000016,2016-07-06,영업/정상(영업중)
Sogni d'oro,외국인관광도시민박업,"서울특별시 마포구 양화로6길 14, 지하층 (합정동)",CDFI3261142016000040,2016-06-17,영업/정상(영업중)
여니하우스,외국인관광도시민박업,"서울특별시 강남구 도곡로25길 32, 201호 (역삼동)",CDFI2262212026000035,2026-01-28,영업/정상(영업중)
첼시 하우스 Ⅱ,외국인관광도시민박업,"서울특별시 동작구 상도로41길 27, 더라빌 402호 (상도1동)",CDFI2262212026000006,2026-01-28,영업/정상(영업중)
우담바라 게스트하우스,외국인관광도시민박업,"서울특별시 서초구 서초중앙로24길 33, 103동 103호 (서초동)",CDFI3261142016000006,2016-06-28,영업/정상(영업중)
미시간하우스앤펍,외국인관광도시민박업,서울특별시 마포구 와우산로29가길 54-6 (서교동),CDFI3261142016000044,2016-07-06,영업/정상(영업중)
리센츠 콘도미니엄 타워,외국인관광도시민박업,"서울특별시 송파구 올림픽로 135, 244동 23층 2305호 (잠실동, 리센츠)",CDFI3261142016000008,2016-07-04,영업/정상(영업중)
벙크게스트하우스,외국인관광도시민박업,서울특별시 마포구 와우산로29라길 19-1 (서교동),CDFI3261142016000037,2016-06-16,영업/정상(영업중)
순화하우스,외국인관광도시민박업,"서울특별시 강남구 도곡로25길 32, 202호 (역삼동)",CDFI2262212026000037,2026-01-28,영업/정상(영업중)
이지트립 게스트하우스,외국인관광도시민박업,"서울특별시 마포구 와우산로27길 62, 3~4층 (서교동)",CDFI3261142016000039,2016-06-16,영업/정상(영업중)
매종드웨이브,외국인관광도시민박업,"서울특별시 마포구 와우산로29길 48-24, 302호 (서교동)",CDFI2262212026000034,2026-01-29,영업/정상(영업중)
다미스테이,외국인관광도시민박업,"서울특별시 용산구 원효로97길 3-30, 1,2층 (원효로1가)",CDFI2262212022000022,2022-11-14,영업/정상(영업중)
"Slow, HBC",외국인관광도시민박업,"서울특별시 용산구 신흥로32길 4-7, 지층 (용산동2가)",CDFI2262212025000122,2025-12-29,영업/정상(영업중)
홈스테이,외국인관광도시민박업,"서울특별시 관악구 남부순환로141길 36, B02호 (신림동)",CDFI2262212026000027,2026-01-27,영업/정상(영업중)
대원아트빌,외국인관광도시민박업,"서울특별시 광진구 자양번영로5길 37-1, 402호 (자양동, 대원아트빌)",CDFI2262212026000015,2026-01-30,영업/정상(영업중)
에피소드 스테이,외국인관광도시민박업,"서울특별시 종로구 낙산성곽서길 65-9, 201호 (충신동)",CDFI2262212025000139,2025-10-21,영업/정상(영업중)
온스테이,외국인관광도시민박업,"서울특별시 광진구 동일로10나길 22, 101호 (자양동)",CDFI2262212026000016,2026-01-30,영업/정상(영업중)
KU Cozy House,외국인관광도시민박업,"서울특별시 광진구 아차산로22길 31-8, 2층 (자양동)",CDFI2262212026000014,2026-01-30,영업/정상(영업중)
무드하우스 3호점,외국인관광도시민박업,"서울특별시 마포구 성미산로 64-3, B01호 (성산동)",CDFI2262212026000043,2026-01-29,영업/정상(영업중)
모이재 스테이,외국인관광도시민박업,서울특별시 마포구 마포대로14길 12-18 (공덕동),CDFI2262212026000035,2026-01-29,영업/정상(영업중)
투돌 stay,외국인관광도시민박업,"서울특별시 관악구 봉천로19길 36, B104호 (봉천동)",CDFI2262212026000025,2026-01-27,영업/정상(영업중)
파인트리,외국인관광도시민박업,서울특별시 관악구 인헌19길 3 (봉천동),CDFI2262212024000076,2024-07-25,영업/정상(영업중)
롬우드스테이,외국인관광도시민박업,"서울특별시 용산구 청파로89길 35, 2층 (서계동)",CDFI2262212026000005,2026-01-09,영업/정상(영업중)
라르고 하우스,외국인관광도시민박업,"서울특별시 마포구 월드컵로8길 37-13, 501호 (서교동)",CDFI2262212023000177,2023-11-23,영업/정상(영업중)
샤로수테이,외국인관광도시민박업,"서울특별시 관악구 낙성대로4길 12-5, 지층 2호 (봉천동)",CDFI2262212023000009,2023-09-22,영업/정상(영업중)
오브스테이,외국인관광도시민박업,"서울특별시 마포구 월드컵로25길 104-7, 3층 401호 (망원동, 신안세라믹빌라)",CDFI2262212026000040,2026-01-29,영업/정상(영업중)
까사 레만소,외국인관광도시민박업,"서울특별시 강남구 광평로5길 14, 지하1층 102호 (일원동)",CDFI2262212026000040,2026-01-30,영업/정상(영업중)
써니 스테이,외국인관광도시민박업,서울특별시 서대문구 성산로16길 4 (연희동),CDFI2262212026000013,2026-01-30,영업/정상(영업중)
온슬로 스테이,외국인관광도시민박업,"서울특별시 광진구 동일로2길 32, 202호 (자양동)",CDFI2262212026000017,2026-01-30,영업/정상(영업중)
기재스 망원 스테이,외국인관광도시민박업,"서울특별시 마포구 동교로 44-6, 1층 201호 (합정동)",CDFI2262212026000033,2026-01-27,영업/정상(영업중)
이지스테이 건대역점,외국인관광도시민박업,"서울특별시 광진구 군자로6길 8, 101호 (화양동)",CDFI2262212026000002,2026-01-20,영업/정상(영업중)
호호 하우스,외국인관광도시민박업,"서울특별시 마포구 월드컵북로9길 23-11, 201호 (서교동)",CDFI2262212026000036,2026-01-29,영업/정상(영업중)
Easy Flow Haus,외국인관광도시민박업,"서울특별시 서대문구 신촌로1안길 12, 302호 (창천동)",CDFI2262212026000012,2026-01-30,영업/정상(영업중)
무띠코지,외국인관광도시민박업,"서울특별시 종로구 종로53길 3, 702호 (창신동)",CDFI2262212025000095,2025-08-14,영업/정상(영업중)
스너그스테이,외국인관광도시민박업,"서울특별시 구로구 공원로6나길 35-8, 2층 (구로동)",CDFI2262212026000002,2026-01-19,영업/정상(영업중)
별하우스,외국인관광도시민박업,"서울특별시 종로구 율곡로23길 7, 1층 101호 (충신동)",CDFI2262212025000080,2025-06-27,영업/정상(영업중)
스테이 담애,외국인관광도시민박업,"서울특별시 중구 퇴계로83길 22, 동인빌딩 402호 (황학동)",CDFI2262212026000006,2026-01-19,영업/정상(영업중)
메종 방배,외국인관광도시민박업,"서울특별시 서초구 효령로27길 24-4, B1층 2호 (방배동)",CDFI2262212026000002,2026-01-20,영업/정상(영업중)
어반스테이 강남,외국인관광도시민박업,"서울특별시 강남구 선릉로115길 41, 201호 (논현동)",CDFI2262212026000033,2026-01-26,영업/정상(영업중)
STAY:솜,외국인관광도시민박업,"서울특별시 강동구 양재대로83길 62-1, 지층 102호 (성내동)",CDFI2262212026000001,2026-01-14,영업/정상(영업중)
제이 스테이,외국인관광도시민박업,"서울특별시 광진구 자양로22길 64, 201호 (구의동)",CDFI2262212026000008,2026-01-26,영업/정상(영업중)
올데이 스테이,외국인관광도시민박업,"서울특별시 광진구 아차산로34길 20-13, 1층 (자양동)",CDFI2262212026000007,2026-01-26,영업/정상(영업중)
루다 스테이,외국인관광도시민박업,"서울특별시 마포구 월드컵로29길 87-13, 2층 301호 (망원동)",CDFI2262212026000028,2026-01-20,영업/정상(영업중)
모멘텀(MOMENTUM),외국인관광도시민박업,"서울특별시 광진구 천호대로132길 68-3, 2층 02호 (구의동)",CDFI2262212026000010,2026-01-26,영업/정상(영업중)
HUE STAY,외국인관광도시민박업,"서울특별시 광진구 동일로2길 32, 3층 302호 (자양동)",CDFI2262212026000009,2026-01-26,영업/정상(영업중)
감성스테이(感性),외국인관광도시민박업,"서울특별시 강동구 고덕로14가길 10, 202호 (암사동)",CDFI2262212026000004,2026-01-27,영업/정상(영업중)
재이 홈(J HOME),외국인관광도시민박업,"서울특별시 동대문구 고산자로 420, 101동 2701호 (용두동, 힐스테이트 청량리 메트로블)",CDFI2262212026000002,2026-01-26,영업/정상(영업중)
인트리스테이,외국인관광도시민박업,"서울특별시 광진구 천호대로121길 74, 201호 (중곡동)",CDFI2262212026000003,2026-01-20,영업/정상(영업중)
우리하우스,외국인관광도시민박업,"서울특별시 강남구 테헤란로55길 47, B동 402호 (역삼동)",CDFI2262212026000034,2026-01-26,영업/정상(영업중)
Jin's stay,외국인관광도시민박업,"서울특별시 동작구 동작대로11길 66-18, 1층 (사당동)",CDFI2262212026000005,2026-01-20,영업/정상(영업중)
SJ Home,외국인관광도시민박업,"서울특별시 은평구 가좌로 293, 601호 (신사동)",CDFI2262212026000005,2026-01-26,영업/정상(영업중)
니어앤디어 홍대,외국인관광도시민박업,"서울특별시 서대문구 신촌로1길 42-7, 203호 (창천동)",CDFI2262212026000009,2026-01-26,영업/정상(영업중)
브리지스테이,외국인관광도시민박업,"서울특별시 광진구 아차산로34길 20-11, 101호 (자양동)",CDFI2262212026000006,2026-01-26,영업/정상(영업중)
상상스테이,외국인관광도시민박업,"서울특별시 성동구 아차산로7길 19, 3층 (성수동2가)",CDFI2262212026000003,2026-01-23,영업/정상(영업중)
Stay Onyu,외국인관광도시민박업,"서울특별시 중랑구 동일로172길 48, 3층 301호 (묵동)",CDFI2262212026000002,2026-01-26,영업/정상(영업중)
헥사 스테이 청담,외국인관광도시민박업,"서울특별시 강남구 도산대로72길 55, 202호 (청담동)",CDFI2262212026000032,2026-01-26,영업/정상(영업중)
하루스테이,외국인관광도시민박업,"서울특별시 강동구 동남로49길 67-32, 유창빌딩 2층 201호 (둔촌동)",CDFI2262212026000003,2026-01-23,영업/정상(영업중)
가희하우스 연남,외국인관광도시민박업,"서울특별시 마포구 동교로51길 43, 3층 (연남동)",CDFI2262212024000408,2024-11-22,영업/정상(영업중)
스테이 단아,외국인관광도시민박업,"서울특별시 중구 퇴계로76길 62-4, 101호 (신당동)",CDFI2262212026000012,2026-01-23,영업/정상(영업중)
게스트 남산,외국인관광도시민박업,"서울특별시 중구 동호로11라길 13, 힐탑하우스 101호 (신당동)",CDFI2262212026000009,2026-01-22,영업/정상(영업중)
어반리브 인 한강,외국인관광도시민박업,"서울특별시 광진구 자양로22길 12-4, B101호 (구의동)",CDFI2262212026000005,2026-01-23,영업/정상(영업중)
쏘록스테이,외국인관광도시민박업,"서울특별시 서대문구 신촌로7길 64, B01호 (창천동)",CDFI2262212024000026,2024-06-13,영업/정상(영업중)
더 코지 성수,외국인관광도시민박업,"서울특별시 성동구 동일로 75-33, 4층 (성수동2가)",CDFI2262212026000004,2026-01-23,영업/정상(영업중)
스테이 이오동,외국인관광도시민박업,"서울특별시 양천구 중앙로36길 43, 201호 (신정동)",CDFI2262212025000024,2025-05-29,영업/정상(영업중)
아스트라 스테이,외국인관광도시민박업,"서울특별시 마포구 월드컵로7안길 5, 지층 101호 (합정동)",CDFI2262212024000333,2024-10-17,영업/정상(영업중)
하울의 집,외국인관광도시민박업,"서울특별시 마포구 월드컵로3길 31-25, 1층 (합정동)",CDFI2262212024000198,2024-07-31,영업/정상(영업중)
토토네,외국인관광도시민박업,"서울특별시 양천구 남부순환로60길 26-3, 301호 (신월동, 레이크빌)",CDFI2262212026000002,2026-01-23,영업/정상(영업중)
명동게스트하우스,외국인관광도시민박업,"서울특별시 중구 퇴계로24길 2-5, 전층 (남산동3가)",CDFI3261142016000016,2016-07-29,영업/정상(영업중)
Stay Seoul,외국인관광도시민박업,"서울특별시 송파구 송파대로32길 15, 108동 2층 702호 (가락동, 가락금호아파트)",CDFI3261142016000010,2016-08-04,영업/정상(영업중)
Kittyzzang06,외국인관광도시민박업,"서울특별시 송파구 송이로 88 (가락동, 가락대림아파트)",CDFI3261142016000009,2016-07-27,영업/정상(영업중)
guesthouse pajamaparty,외국인관광도시민박업,서울특별시 마포구 성미산로 157-6 (연남동),CDFI3261142016000049,2016-07-28,영업/정상(영업중)
홍대 롯지 게스트하우스,외국인관광도시민박업,서울특별시 마포구 연남로3길 26 (연남동),CDFI3261142016000057,2016-09-09,영업/정상(영업중)
Mr. Brown,외국인관광도시민박업,"서울특별시 마포구 성미산로29길 10, 지하층 (연남동)",CDFI3261142016000051,2016-08-08,영업/정상(영업중)
한스테이,외국인관광도시민박업,"서울특별시 마포구 동교로 44-6, 지층 102호 (합정동)",CDFI2262212026000032,2026-01-27,영업/정상(영업중)
팝스테이,외국인관광도시민박업,"서울특별시 성동구 연무장7길 4, 해피드림 603호 (성수동2가)",CDFI2262212026000006,2026-01-26,영업/정상(영업중)
감자2 게스트하우스,외국인관광도시민박업,서울특별시 마포구 신촌로2안길 44 (동교동),CDFI3261142016000048,2016-07-27,영업/정상(영업중)
림 스테이,외국인관광도시민박업,"서울특별시 관악구 신림로11길 89-5, 201호 (신림동)",CDFI2262212026000026,2026-01-27,영업/정상(영업중)
인더가든(IN THE GARDEN),외국인관광도시민박업,서울특별시 동작구 흑석로5길 93 (흑석동),CDFI3261142016000002,2016-08-29,영업/정상(영업중)
게스트하우스 공유,외국인관광도시민박업,서울특별시 서대문구 홍연8길 28-35 (연희동),CDFI3261142016000017,2016-08-04,영업/정상(영업중)
남산 마이,외국인관광도시민박업,"서울특별시 중구 퇴계로18길 79-4, 1층 (남산동2가)",CDFI3261142016000015,2016-07-28,영업/정상(영업중)
B&R HOUSE,외국인관광도시민박업,"서울특별시 마포구 신촌로2안길 12, 301호 (동교동)",CDFI3261142016000050,2016-07-29,영업/정상(영업중)
토미의 집,외국인관광도시민박업,"서울특별시 구로구 오류로8바길 14-9, 2층 (오류동)",CDFI2262212026000003,2026-01-26,영업/정상(영업중)
Yellow Cozy Home,외국인관광도시민박업,"서울특별시 마포구 월드컵로8길 37-12, 2층 202호 (서교동)",CDFI2262212025000205,2025-05-02,영업/정상(영업중)
당산재,외국인관광도시민박업,"서울특별시 영등포구 당산로16길 7-1, 지층 102호 (당산동1가)",CDFI2262212026000006,2026-01-26,영업/정상(영업중)
스테이 봉,외국인관광도시민박업,"서울특별시 관악구 국회단지6길 18, B01호 (봉천동)",CDFI2262212025000001,2025-01-02,영업/정상(영업중)
비타민 스테이,외국인관광도시민박업,"서울특별시 관악구 봉천로6길 55, 103호 (신림동)",CDFI2262212026000024,2026-01-22,영업/정상(영업중)
세닌 스테이,외국인관광도시민박업,"서울특별시 광진구 능동로19길 21-10, 101호 (화양동)",CDFI2262212026000011,2026-01-27,영업/정상(영업중)
단이랑체리의집,외국인관광도시민박업,"서울특별시 중구 다산로33길 10-9, 1층 (신당동)",CDFI2262212026000008,2026-01-22,영업/정상(영업중)
하니 스테이,외국인관광도시민박업,"서울특별시 동대문구 망우로18길 16, 1층 102호 (휘경동)",CDFI2262212025000031,2025-12-11,영업/정상(영업중)
안온(anon),외국인관광도시민박업,"서울특별시 영등포구 당산로18길 5-4, 1층 (당산동1가)",CDFI2262212026000007,2026-01-26,영업/정상(영업중)
하우스 홍대,외국인관광도시민박업,"서울특별시 마포구 와우산로25길 22, 101호 (서교동, 협화빌라)",CDFI3261142016000056,2016-09-09,영업/정상(영업중)
조브스테이,외국인관광도시민박업,"서울특별시 강남구 언주로121길 22, 401호 (논현동, 원스빌)",CDFI2262212026000031,2026-01-22,영업/정상(영업중)
코지 스테이 명동,외국인관광도시민박업,"서울특별시 중구 퇴계로20나길 2-15, 203호 (남산동2가, 능마루빌라)",CDFI2262212026000011,2026-01-22,영업/정상(영업중)
클랜돔,외국인관광도시민박업,"서울특별시 종로구 종로58길 33, 5층 (숭인동)",CDFI2262212024000049,2024-09-06,영업/정상(영업중)
까사미아(CASAMIA),외국인관광도시민박업,"서울특별시 강북구 도봉로20가길 89, B층 1호 (미아동, 화계그린빌라)",CDFI2262212026000002,2026-01-16,영업/정상(영업중)
스테이 허밍,외국인관광도시민박업,"서울특별시 구로구 오류로8나길 13-8, 202호 (오류동)",CDFI2262212026000004,2026-01-26,영업/정상(영업중)
머뭄,외국인관광도시민박업,"서울특별시 강남구 논현로115길 10, 3층 (논현동)",CDFI2262212026000030,2026-01-22,영업/정상(영업중)
스테이 109,외국인관광도시민박업,"서울특별시 중구 퇴계로88다길 6, 3층 (신당동)",CDFI2262212026000010,2026-01-22,영업/정상(영업중)
달빛채,외국인관광도시민박업,"서울특별시 서초구 효령로27길 88, 201호 (방배동)",CDFI2262212026000003,2026-01-22,영업/정상(영업중)
제이나인 롯지,외국인관광도시민박업,"서울특별시 중구 퇴계로12길 73-7, 101호 (회현동1가)",CDFI2262212026000007,2026-01-22,영업/정상(영업중)
서울 히노키,외국인관광도시민박업,"서울특별시 서대문구 세검정로 61-45, 202호 (홍제동)",CDFI2262212026000008,2026-01-22,영업/정상(영업중)
명동힐,외국인관광도시민박업,"서울특별시 중구 퇴계로20길 25-16, 301호 (남산동2가)",CDFI2262212024000036,2024-07-10,영업/정상(영업중)
헬로우 서울 스테이,외국인관광도시민박업,"서울특별시 관악구 신림로48길 17-12, 301호 (신림동)",CDFI2262212026000023,2026-01-22,영업/정상(영업중)
