업소명,민박업소형태,주소,지번주소,지방행정데이터인허가번호,지방행정데이터인허가일자,영업상태,latitude,longitude,coord_duplicate_count
홈스테이니어강남코엑스,외국인관광도시민박업,"서울특별시 강남구 봉은사로82길 24, 301호 (삼성동, 아셈아파트)",서울 강남구 삼성동 150-5,CDFI3261142015000023,2015-08-04,영업/정상(영업중),37.5116340906519,127.055016005052,3
소월길,외국인관광도시민박업,"[140833] 서울특별시 용산구 신흥로20길 27, 102호 (용산동2가, 대영빌라)",서울 용산구 용산동2가 1-1890,CDFI3261142015000019,2015-07-29,영업/정상(영업중),37.5467350778015,126.984144673714,2
노바펠리스,외국인관광도시민박업,"서울특별시 용산구 후암로30길 17, 302호 (후암동, 노바펠리스)",서울 용산구 후암동 60-12,CDFI3261142015000020,2015-08-04,영업/정상(영업중),37.5505404917605,126.978215330502,3
한스하우스(Hans house),외국인관광도시민박업,[110045] 서울특별시 종로구 자하문로1다길 20 (체부동),서울 종로구 체부동 155,CDFI3261142015000007,2015-07-24,영업/정상(영업중),37.5774738183615,126.970451469967,2
A Little Nap 2,외국인관광도시민박업,"[121818] 서울특별시 마포구 신촌로2안길 47, 102호 (동교동)",서울 마포구 동교동 178-7,CDFI3261142015000062,2015-07-24,영업/정상(영업중),37.5567430739298,126.929582887291,6
감자 게스트하우스,외국인관광도시민박업,"[121865] 서울특별시 마포구 성미산로28길 27, 2층 (연남동)",서울 마포구 연남동 255-7,CDFI3261142015000020,2015-03-18,영업/정상(영업중),37.5629058052444,126.923366986917,2
호 홈텔,외국인관광도시민박업,"[121896] 서울특별시 마포구 월드컵로10길 5-5, 3층 (서교동)",서울 마포구 서교동 476-17,CDFI3261142015000024,2015-04-08,영업/정상(영업중),37.5547279994019,126.911877175237,2
반딧불 게스트하우스,외국인관광도시민박업,"[121867] 서울특별시 마포구 동교로38길 28, 2층 (연남동)",서울 마포구 연남동 382-1,CDFI3261142015000019,2015-03-18,영업/정상(영업중),37.5616515937284,126.925439402109,2
指月藏(jiwoljang),외국인관광도시민박업,"[140902] 서울특별시 용산구 후암로4길 21, 에이동 1층 (후암동)",서울 용산구 후암동 250-5,CDFI3261142015000018,2015-07-22,영업/정상(영업중),37.5473530334507,126.97924070574,2
이브,외국인관광도시민박업,"서울특별시 중구 퇴계로20길 41-14, 2층 (남산동2가)",서울 중구 남산동2가 21-3,CDFI3261142015000017,2015-08-20,영업/정상(영업중),37.5585619929564,126.986779782902,4
레나하우스,외국인관광도시민박업,"[137041] 서울특별시 서초구 신반포로 270, 143동 1201호 (반포동)",서울 서초구 반포동 20-43,CDFI3261142015000005,2015-03-23,영업/정상(영업중),37.5078602234885,127.011582043737,2
리앤노1게스트하우스,외국인관광도시민박업,"서울특별시 마포구 연남로3길 18-9, 3층 (연남동)",서울 마포구 연남동 561-29,CDFI3261142015000066,2015-09-18,영업/정상(영업중),37.5614122291602,126.921050881665,4
서울맨션2,외국인관광도시민박업,"[121816] 서울특별시 마포구 양화로23길 4-21, 2~3층 (동교동)",서울 마포구 동교동 147-44,CDFI3261142015000022,2015-04-02,영업/정상(영업중),37.5594841751017,126.926042544761,4
도어스 게스트하우스,외국인관광도시민박업,"[121816] 서울특별시 마포구 양화로23길 4-5, 302호 (동교동)",서울 마포구 동교동 147-39,CDFI3261142015000023,2015-04-06,영업/정상(영업중),37.5589173117425,126.925681952191,2
마음이 머무는 김여사의 사랑채,외국인관광도시민박업,[138220] 서울특별시 송파구 백제고분로19길 4-7 (잠실동),서울 송파구 잠실동 249-8,CDFI3261142015000007,2015-04-06,영업/정상(영업중),37.5052505251328,127.087125586688,2
아름다운 황토집,외국인관광도시민박업,서울특별시 은평구 통일로92길 30 (불광동),서울 은평구 불광동 480-261,CDFI3261142015000004,2015-09-30,영업/정상(영업중),37.6257157522123,126.922995109246,2
리앤노게스트하우스,외국인관광도시민박업,"서울특별시 마포구 연남로3길 18-9, 4층 (연남동)",서울 마포구 연남동 561-29,CDFI3261142015000067,2015-09-18,영업/정상(영업중),37.5614122291602,126.921050881665,4
강남게스트하우스 마루,외국인관광도시민박업,"서울특별시 강남구 봉은사로30길 67, 2층 (역삼동)",서울 강남구 역삼동 669-6,CDFI3261142015000025,2015-10-02,영업/정상(영업중),37.5033171248934,127.036868394544,2
Jeong's family,외국인관광도시민박업,"서울특별시 용산구 효창원로8길 16, 101동 903호 (원효로4가, 한성 한강수 아파트)",서울 용산구 원효로4가 128-1,CDFI3261142015000027,2015-09-23,영업/정상(영업중),37.5336320013316,126.951404395677,2
그린게스트하우스,외국인관광도시민박업,"서울특별시 중구 퇴계로 217, 2동 801호 (충무로4가, 진양아파트)",서울 중구 충무로4가 120-3,CDFI3261142015000020,2015-10-07,영업/정상(영업중),37.5624227137843,126.995931151636,4
명동 웰컴 게스트하우스,외국인관광도시민박업,"서울특별시 중구 소공로6나길 1, 2층 (회현동2가)",서울 중구 회현동2가 42-1,CDFI3261142015000022,2015-10-13,영업/정상(영업중),37.5582087075912,126.983847302229,5
H.명동스테이,외국인관광도시민박업,"서울특별시 중구 퇴계로10길 20-20, 전층 (회현동1가)",서울 중구 회현동1가 31-13,CDFI3261142015000024,2015-10-22,영업/정상(영업중),37.5586621,126.9805931,2
서울 타이완 게스트하우스2,외국인관광도시민박업,"서울특별시 중구 퇴계로10길 20-14, 전층 (회현동1가)",서울 중구 회현동1가 88-3,CDFI3261142015000023,2015-10-13,영업/정상(영업중),37.5581699356288,126.980114491114,3
Sunshine Guesthouse,외국인관광도시민박업,"서울특별시 송파구 송파대로 567 (잠실동, 주공아파트)",서울 송파구 잠실동 27,CDFI3261142015000010,2015-10-23,영업/정상(영업중),37.5131381759342,127.09304868009,2
Villa de 103,외국인관광도시민박업,"서울특별시 마포구 와우산로35길 39, 103호 (서교동)",서울 마포구 서교동 329-11,CDFI3261142015000071,2015-10-14,영업/정상(영업중),37.5562330846734,126.928641189268,2
THAT HOUSE,외국인관광도시민박업,서울특별시 서대문구 신촌로3가길 29 (창천동),서울 서대문구 창천동 501-16,CDFI3261142015000017,2015-10-07,영업/정상(영업중),37.5579837494059,126.930499247118,2
Space Hue,외국인관광도시민박업,"서울특별시 송파구 오금로31가길 1 (방이동, 런던빌)",서울 송파구 방이동 224-12,CDFI3261142015000009,2015-08-24,영업/정상(영업중),37.5066835106457,127.121919419731,2
타임트래블러파티게스트하우스,외국인관광도시민박업,"서울특별시 서대문구 연희로2길 11, 1,2층 (창천동)",서울 서대문구 창천동 457,CDFI3261142015000016,2015-08-24,영업/정상(영업중),37.5609107060476,126.927467222849,2
Top guesthouse,외국인관광도시민박업,"서울특별시 용산구 청파로85길 38, 3층 (서계동)",서울 용산구 서계동 14-3,CDFI3261142015000022,2015-08-21,영업/정상(영업중),37.5527992165201,126.967004682998,2
the itaewon guesthouse,외국인관광도시민박업,서울특별시 용산구 이태원로26길 25-12 (이태원동),서울 용산구 이태원동 130-16,CDFI3261142015000029,2015-10-14,영업/정상(영업중),37.5333485700086,126.993972016213,2
게스트하우스 필운,외국인관광도시민박업,서울특별시 종로구 사직로9가길 5-13 (필운동),서울 종로구 필운동 130-2,CDFI3261142015000011,2015-10-23,영업/정상(영업중),37.5769460909886,126.968309370343,2
어반아트 게스트하우스,외국인관광도시민박업,"서울특별시 영등포구 도림로 432, 2층 (문래동3가)",서울 영등포구 문래동3가 58-77,CDFI3261142015000003,2015-08-25,영업/정상(영업중),37.5143755803696,126.895185194049,2
성린,외국인관광도시민박업,"서울특별시 마포구 어울마당로 136-10, 3층 (서교동)",서울 마포구 서교동 347-3,CDFI3261142015000064,2015-08-31,영업/정상(영업중),37.5557372588322,126.925137688867,3
Janet's House,외국인관광도시민박업,"서울특별시 마포구 월드컵북로42나길 12, 2층 (상암동)",서울 마포구 상암동 1524-3,CDFI3261142015000077,2015-10-29,영업/정상(영업중),37.5754966349093,126.89764361085,2
요트-2,외국인관광도시민박업,"서울특별시 용산구 이태원로19길 19, 3층 (이태원동)",서울 용산구 이태원동 118-62,CDFI3261142015000023,2015-08-26,영업/정상(영업중),37.5352614395832,126.991733331021,2
